departamento;municipio;numero_contratos;inversion_publica_total
Antioquia;San Luis;1248;
Antioquia;Zaragoza;324;
Boyacá;Santana;586;
Antioquia;Ituango;181;
Caquetá;Curillo;484;
Caldas;Marquetalia;280;
Huila;Palestina;1779;
Huila;Isnos;1508;
Santander;Oiba;429;
Santander;Contratación;367;
Antioquia;Santa Bárbara;670;
Boyacá;Macanal;454;
Antioquia;Granada;1231;
Meta;Granada;152;
Atlántico;Santa Lucía;488;
Antioquia;Jericó;127;
Boyacá;Soracá;38;
Santander;Confines;186;
Antioquia;Caicedo;1;
Caquetá;San José Del Fragua;28;
Cauca;El Tambo;24;
Antioquia;Betania;306;
Boyacá;Ciénega;47;
La Guajira;Manaure;57;
Cauca;Caldono;13;
Caldas;Viterbo;73;
Norte de Santander;La Playa;70;
Nariño;Imués;14;
Boyacá;Viracachá;26;
Nariño;Colón;14;
Huila;Aipe;11;
Cesar;Pelaya;2;
Cauca;Argelia;15;
Atlántico;Suan;8;
Huila;Colombia;6;
Cundinamarca;Granada;32;
Cundinamarca;Chaguaní;3;
Cundinamarca;La Palma;12;
Cauca;Rosas;21;
Bolívar;Río Viejo;5;
Norte de Santander;San Calixto;5;
Córdoba;Puerto Libertador;3;
Córdoba;Moñitos;1;
Cundinamarca;Guataquí;1;
Bolívar;Hatillo De Loba;1;
Sucre;Buenavista;2;
Bolívar;Tiquisio;1;
Santander;San Andrés;167;
Distrito Capital de Bogotá;No Definido;767237;
Boyacá;Muzo;173;
Quindío;Armenia;81953;
Magdalena;Fundación;8801;
Santander;Piedecuesta;12901;
Meta;Acacías;9478;
Huila;Neiva;44458;
Antioquia;Peñol;4209;
Cundinamarca;Fusagasugá;12185;
Boyacá;La Uvita;619;
Cundinamarca;Bojacá;844;
Antioquia;El Santuario;5477;
Distrito Capital de Bogotá;Distrito Capital;1788;
Tolima;No Definido;33543;
Boyacá;Socotá;740;
Arauca;No Definido;4099;
Boyacá;Maripí;560;
Santander;Matanza;455;
San Andrés, Providencia y Santa Catalina;San Andrés;33999;
Antioquia;Cisneros;1173;
Santander;Vélez;3147;
Magdalena;El Banco;2528;
Nariño;Cumbitara;433;
Caldas;Riosucio;2030;
Boyacá;Pesca;689;
Antioquia;San Rafael;1408;
Antioquia;El Carmen De Viboral;2366;
Sucre;San Onofre;1137;
Bolívar;Cantagallo;691;
Magdalena;Guamal;444;
Antioquia;Salgar;260;
Bolívar;Simití;2029;
Putumayo;Leguízamo;519;
Cundinamarca;Albán;556;
Boyacá;Sativanorte;368;
Caldas;Neira;372;
Santander;Aguada;350;
Risaralda;No Definido;2730;
Bolívar;San Juan Nepomuceno;1040;
Cundinamarca;Gachancipá;676;
Cundinamarca;El Rosal;676;
Nariño;Yacuanquer;48;
Antioquia;Anza;318;
Boyacá;Belén;469;
Antioquia;Cáceres;19;
Cundinamarca;Guatavita;16;
Valle del Cauca;Yotoco;825;
Tolima;Venadillo;57;
Santander;Guavatá;79;
Quindío;Génova;5;
Boyacá;Tinjacá;368;
Boyacá;Cuítiva;50;
Cundinamarca;Villagómez;136;
Bolívar;Montecristo;1;
Caldas;Salamina;92;
Cundinamarca;El Peñón;9;
Cundinamarca;Tena;75;
Santander;Puerto Parra;69;
Tolima;Coyaima;136;
Tolima;Ambalema;47;
Tolima;San Antonio;29;
Córdoba;Lorica;6;
Sucre;San Pedro;18;
Cundinamarca;Fomeque;14;
Norte de Santander;Cachirá;8;
Cauca;López;6;
Cauca;Timbiquí;12;
Boyacá;Ventaquemada;5;
Nariño;Pupiales;4;
Cundinamarca;Fúquene;278;
Cundinamarca;La Calera;3224;
Sucre;Caimito;4;
Bolívar;Cartagena;98365;
Casanare;Aguazul;5215;
Tolima;Purificación;39;
Santander;Charta;224;
Nariño;La Llanada;1022;
Bolívar;Magangué;3781;
Santander;Málaga;2906;
Antioquia;Turbo;1840;
Antioquia;Don Matías;1642;
Valle del Cauca;Cartago;4545;
Putumayo;Villagarzón;1608;
Cauca;Piendamó;2033;
La Guajira;Hatonuevo;459;
Valle del Cauca;Cali;384473;
Bolívar;Barranco De Loba;193;
Huila;Gigante;303;
Quindío;Filandia;1496;
Antioquia;Betulia;777;
Nariño;Arboleda;267;
Antioquia;Arboletes;249;
Putumayo;San Miguel;1152;
Santander;La Paz;128;
Cundinamarca;Sesquilé;840;
Antioquia;Alejandría;692;
Boyacá;Guateque;994;
Guaviare;No Definido;154;
Córdoba;Tierralta;155;
Caquetá;Albania;466;
Antioquia;Angelópolis;299;
Cundinamarca;Anapoima;127;
Valle del Cauca;La Unión;2031;
Cundinamarca;Viotá;339;
Cundinamarca;Pulí;45;
Antioquia;San Andrés;183;
Córdoba;Valencia;418;
Antioquia;Concepción;6;
Santander;Puente Nacional;225;
Cundinamarca;Tibirita;64;
Antioquia;Liborina;27;
Norte de Santander;Villa Caro;171;
Tolima;Falan;35;
Nariño;Ricaurte;52;
Boyacá;Toca;86;
Cauca;Guapi;28;
Meta;Barranca De Upía;1;
Boyacá;Chinavita;38;
Sucre;Palmito;9;
Nariño;Cumbal;19;
Bolívar;San Martín De Loba;148;
Atlántico;Polonuevo;3;
Cundinamarca;Tocaima;51;
Huila;Elías;10;
Cundinamarca;Medina;10;
Nariño;San Lorenzo;9;
Antioquia;Nechí;2;
Magdalena;Salamina;3;
Nariño;Ospina;2;
Guainía;Inírida;3203;
Tolima;Espinal;9506;
Nariño;El Charco;19;
Antioquia;Carolina;1776;
Tolima;Guamo;939;
Cundinamarca;Pacho;1114;
Huila;Nátaga;137;
Bolívar;María La Baja;756;
Bolívar;Arjona;527;
Meta;Puerto Gaitán;2568;
Quindío;Salento;1422;
Quindío;Pijao;541;
Arauca;Cravo Norte;829;
Boyacá;Coper;469;
La Guajira;No Definido;5571;
Valle del Cauca;No Definido;49526;
Antioquia;Ebéjico;459;
Cundinamarca;Supatá;85;
Cesar;Becerril;774;
Nariño;Funes;949;
Antioquia;Valdivia;769;
Boyacá;Berbeo;359;
Antioquia;Yondó;1510;
Norte de Santander;Pamplonita;640;
Cundinamarca;Subachoque;776;
Caldas;Supía;469;
Santander;Suratá;569;
Meta;Fuente De Oro;1004;
Cesar;San Diego;40;
Boyacá;El Cocuy;436;
Cundinamarca;Suesca;367;
Santander;Charalá;340;
Norte de Santander;Bucarasica;12;
Antioquia;Cañasgordas;32;
Santander;Valle De San José;184;
Valle del Cauca;Vijes;319;
Arauca;Fortul;211;
Cundinamarca;Silvania;312;
La Guajira;El Molino;10;
Nariño;Providencia;16;
Casanare;San Luis De Palenque;86;
Tolima;Casabianca;1;
Cundinamarca;Beltrán;102;
Córdoba;Purísima;5;
Boyacá;Sutatenza;31;
Tolima;Fresno;15;
Nariño;Córdoba;3;
Nariño;Tangua;6;
Córdoba;San Andrés Sotavento;24;
Nariño;El Rosario;8;
Cauca;Toribio;4;
Norte de Santander;El Zulia;2;
Chocó;El Carmen De Atrato;4;
Boyacá;San Pablo De Borbur;517;
Antioquia;Medellín;251387;
Putumayo;Sibundoy;8;
Cesar;No Definido;9818;
Bolívar;Turbaco;29409;
Boyacá;Tibasosa;1452;
Cundinamarca;Cogua;1163;
Valle del Cauca;Palmira;18234;
Cundinamarca;Tocancipá;5033;
Magdalena;Plato;3401;
Cundinamarca;Tenjo;2559;
Valle del Cauca;El Cerrito;6267;
Caldas;Anserma;1277;
Cesar;Astrea;806;
Valle del Cauca;Roldanillo;1936;
Boyacá;Aquitania;756;
Norte de Santander;Cúcuta;89132;
Norte de Santander;Abrego;2586;
Antioquia;Segovia;1108;
Santander;Rionegro;1027;
Cesar;Aguachica;1760;
Antioquia;Támesis;1251;
Valle del Cauca;Zarzal;840;
Boyacá;Santa Rosa De Viterbo;294;
Antioquia;Titiribí;730;
La Guajira;Dibulla;792;
Tolima;Rovira;99;
Valle del Cauca;La Cumbre;264;
Tolima;Prado;133;
Antioquia;Montebello;216;
Antioquia;Fredonia;509;
Nariño;Nariño;118;
Cauca;La Vega;18;
Valle del Cauca;Argelia;8;
Caldas;Samaná;13;
Tolima;Alpujarra;19;
Boyacá;Chivatá;71;
Antioquia;Olaya;116;
Cundinamarca;Susa;24;
Boyacá;El Espino;10;
Nariño;Mallama;9;
Santander;Villanueva;14;
Huila;Hobo;6;
Bolívar;Córdoba;6;
Cundinamarca;Pasca;2;
Boyacá;Mongua;3;
Chocó;Medio Atrato;8;
Tolima;Alvarado;2;
Norte de Santander;Labateca;3;
Risaralda;Quinchía;3;
Nariño;Gualmatán;7;
Antioquia;Uramita;2;
Norte de Santander;Toledo;6;
Chocó;Acandí;1;
Magdalena;Pedraza;1;
Córdoba;Pueblo Nuevo;2;
Sucre;El Roble;1;
Antioquia;Santa Rosa De Osos;2648;
Atlántico;Barranquilla;125293;
Sucre;San Marcos;11;
Sucre;Sincelejo;36697;
Caldas;Manizales;42404;
San Andrés, Providencia y Santa Catalina;No Definido;4440;
Putumayo;No Definido;2836;
Caquetá;No Definido;10367;
Boyacá;No Definido;10032;
Atlántico;Galapa;3871;
Huila;No Definido;16406;
Antioquia;Amagá;1544;
Norte de Santander;Villa Del Rosario;6034;
Caldas;Chinchiná;4206;
Tolima;Saldaña;1240;
Cauca;Santander De Quilichao;2144;
Valle del Cauca;Sevilla;2321;
Putumayo;Mocoa;18148;
Boyacá;Floresta;130;
Antioquia;San Pedro De Uraba;1135;
Tolima;Valle De San Juan;534;
Sucre;Coveñas;727;
Valle del Cauca;Bolívar;61;
Magdalena;Concordia;332;
Santander;Suaita;242;
Cundinamarca;Tabio;2679;
Cundinamarca;Chocontá;816;
Huila;Rivera;1195;
Boyacá;Covarachía;398;
Huila;La Argentina;302;
Antioquia;Remedios;358;
Antioquia;San Vicente;712;
Risaralda;Apía;332;
Boyacá;Paz De Río;406;
Boyacá;Pisba;652;
Huila;Yaguará;353;
Norte de Santander;Teorama;506;
Santander;San Benito;195;
Antioquia;San Juan De Urabá;225;
Nariño;Magüi;94;
Santander;Florián;69;
Boyacá;Susacón;312;
Santander;Jordán;14;
Boyacá;Umbita;38;
Cauca;Suárez;16;
Antioquia;Argelia;1;
Sucre;Santiago De Tolú;28;
Cauca;San Sebastián;1;
Huila;Tarqui;14;
Putumayo;Colón;19;
Santander;Cepitá;10;
Chocó;Riosucio;5;
Tolima;Coello;26;
Nariño;Guachucal;14;
Santander;Santa Helena Del Opón;4;
Cundinamarca;La Peña;20;
Cauca;Silvia;5;
Nariño;Olaya Herrera;6;
Cundinamarca;Zipacón;10;
Huila;Suaza;3;
Cauca;Inzá;1;
Cundinamarca;Sasaima;664;
Santander;No Definido;41557;
Boyacá;Ramiriquí;808;
La Guajira;Riohacha;19160;
Antioquia;Sabaneta;17653;
Cundinamarca;Zipaquirá;7477;
Valle del Cauca;San Pedro;281;
Tolima;Chaparral;489;
Cundinamarca;Villa De San Diego De Ubate;3248;
Boyacá;Cubará;37;
Antioquia;Barbosa;2920;
Antioquia;Marinilla;4115;
Boyacá;Betéitiva;336;
Santander;Simacota;664;
Caldas;Risaralda;3065;
Valle del Cauca;Andalucía;1699;
Boyacá;Miraflores;1166;
Boyacá;Moniquirá;2433;
Santander;San Vicente De Chucurí;518;
Nariño;Consaca;908;
Antioquia;San Francisco;1416;
Caquetá;Puerto Rico;696;
Valle del Cauca;La Victoria;412;
Antioquia;Gómez Plata;1617;
Boyacá;Sáchica;401;
Nariño;La Florida;13;
Bolívar;Santa Rosa Del Sur;703;
Córdoba;Ayapel;327;
Norte de Santander;Puerto Santander;351;
Arauca;Saravena;880;
Nariño;Santacruz;16;
Santander;Lebríja;907;
La Guajira;Fonseca;951;
Tolima;Melgar;9589;
Magdalena;Algarrobo;216;
Cundinamarca;San Francisco;584;
Boyacá;Nuevo Colón;728;
Antioquia;Belmira;374;
Boyacá;Sora;396;
Santander;Guaca;152;
Santander;Palmas Del Socorro;219;
Boyacá;Arcabuco;82;
Antioquia;San Roque;9;
Nariño;Iles;9;
Nariño;Contadero;7;
Nariño;La Unión;11;
Cesar;Chimichagua;39;
Huila;Oporapa;14;
Nariño;Taminango;10;
Boyacá;Chiscas;34;
Bolívar;Zambrano;8;
Meta;San Carlos De Guaroa;3;
Nariño;Mosquera;2;
Cundinamarca;Tibacuy;2;
Norte de Santander;La Esperanza;10;
Cesar;Pailitas;7;
Magdalena;Remolino;1;
Sucre;San Juan De Betulia;1;
Magdalena;Santa Marta;79137;
Atlántico;No Definido;18304;
Boyacá;Chiquinquirá;3028;
Antioquia;Jardín;1474;
Boyacá;Sogamoso;12172;
Antioquia;Girardota;4939;
Nariño;Tumaco;2664;
Norte de Santander;No Definido;3468;
Chocó;Quibdó;14180;
Cundinamarca;Girardot;11419;
Boyacá;Tuta;1032;
Sucre;Sampués;1898;
Antioquia;Copacabana;3866;
Cundinamarca;Ricaurte;3729;
Boyacá;Caldas;337;
Antioquia;Santafé De Antioquia;2190;
Antioquia;Hispania;876;
Casanare;Monterrey;593;
Boyacá;Puerto Boyacá;4435;
Cauca;Morales;907;
Quindío;La Tebaida;3551;
Caldas;Pácora;237;
Vaupés;No Definido;796;
Putumayo;Puerto Asís;6173;
Antioquia;Pueblorrico;497;
Meta;Castilla La Nueva;1191;
Cundinamarca;San Antonio Del Tequendama;1192;
Bolívar;Turbaná;1455;
Valle del Cauca;El Dovio;239;
Boyacá;Turmequé;183;
Bolívar;El Carmen De Bolívar;925;
Valle del Cauca;Caicedonia;1880;
Magdalena;Sabanas De San Angel;897;
Antioquia;Santo Domingo;96;
Antioquia;San Pedro;622;
Boyacá;Garagoa;742;
Boyacá;Paya;588;
Meta;San Martín;1577;
Cesar;Chiriguaná;30;
Cauca;Balboa;1;
Caldas;Marmato;385;
Boyacá;Socha;356;
Santander;El Guacamayo;340;
Nariño;Leiva;26;
Cundinamarca;Gama;544;
Caldas;Belalcázar;175;
Nariño;Belén;283;
Boyacá;Siachoque;54;
Risaralda;Marsella;307;
Córdoba;Chinú;81;
Boyacá;Saboyá;32;
Meta;Cabuyaro;6;
Santander;La Belleza;6;
Nariño;Barbacoas;16;
Boyacá;Tipacoque;51;
Cauca;Guachené;36;
Santander;Onzaga;30;
Magdalena;Ariguaní;25;
Putumayo;Orito;43;
Bolívar;Morales;4;
Santander;Puerto Wilches;23;
Cesar;La Gloria;14;
Bolívar;El Peñón;14;
Nariño;El Tablón De Gómez;12;
Nariño;San Pablo;3;
Boyacá;Labranzagrande;4;
Tolima;Santa Isabel;3;
Santander;Carcasí;1;
Norte de Santander;Ragonvalia;4;
Cundinamarca;Lenguazaque;622;
Santander;Bucaramanga;120982;
Tolima;San Luis;180;
Meta;Villavicencio;90253;
Santander;Mogotes;537;
Norte de Santander;Los Patios;9365;
Antioquia;Itagui;7131;
Casanare;Villanueva;1482;
Huila;Acevedo;843;
Antioquia;La Ceja;5673;
Nariño;Puerres;1500;
Cundinamarca;Funza;11013;
Boyacá;Gachantivá;367;
Santander;Palmar;289;
Boyacá;Sativasur;240;
Tolima;Flandes;2160;
Atlántico;Malambo;1833;
Valle del Cauca;Pradera;3399;
Antioquia;Venecia;1532;
Magdalena;Aracataca;736;
Cundinamarca;Nocaima;629;
Guaviare;San José Del Guaviare;3605;
Quindío;Buenavista;518;
Atlántico;Sabanagrande;227;
Cauca;Caloto;41;
Guaviare;Miraflores;422;
Huila;Iquira;174;
Boyacá;Oicatá;214;
Cesar;Agustín Codazzi;694;
Córdoba;Tuchín;36;
Tolima;Ortega;534;
Boyacá;Nobsa;962;
Tolima;Ibagué;78115;
San Andrés, Providencia y Santa Catalina;Providencia;195;
Tolima;Lérida;1167;
Cundinamarca;Venecia;36;
Atlántico;Palmar De Varela;427;
Caquetá;Cartagena Del Chairá;54;
Boyacá;Panqueba;16;
Risaralda;La Celia;64;
Magdalena;Santa Bárbara De Pinto;57;
Antioquia;Sabanalarga;9;
Atlántico;Campo De La Cruz;26;
Cundinamarca;Paime;6;
Santander;El Peñón;27;
Nariño;La Tola;1;
Sucre;Guaranda;5;
Cauca;Cajibío;5;
Antioquia;Vigía Del Fuerte;7;
Santander;San Miguel;15;
Santander;Albania;19;
Córdoba;Puerto Escondido;6;
Córdoba;Ciénaga De Oro;2;
Nariño;Francisco Pizarro;6;
Cundinamarca;Quetame;1;
Casanare;Támara;3;
Cundinamarca;Nariño;2;
Santander;Zapatoca;1;
Antioquia;Rionegro;12200;
Cundinamarca;Soacha;36880;
Amazonas;Leticia;14367;
Boyacá;Somondoco;398;
Valle del Cauca;Guadalajara De Buga;14505;
Chocó;No Definido;4490;
Risaralda;Santa Rosa De Cabal;4680;
Antioquia;Entrerrios;1010;
Antioquia;Dabeiba;847;
Antioquia;Caracolí;323;
Antioquia;Caldas;6212;
Meta;Cumaral;2925;
Antioquia;Heliconia;415;
Antioquia;Caucasia;4672;
Cauca;Patía;1093;
Boyacá;Quípama;74;
Caldas;Manzanares;1364;
Cundinamarca;Macheta;427;
Tolima;Mariquita;995;
Cundinamarca;Gachala;2372;
Bolívar;Calamar;1993;
Meta;Restrepo;1685;
Nariño;Albán;373;
Tolima;Suárez;771;
Atlántico;Manatí;858;
Meta;Guamal;1713;
Cundinamarca;Yacopí;10;
Cundinamarca;Choachí;186;
Boyacá;Ráquira;198;
Nariño;Túquerres;29;
Boyacá;Zetaquira;422;
Cundinamarca;Ubalá;80;
Cundinamarca;Guasca;361;
Norte de Santander;Silos;427;
Cundinamarca;Tausa;650;
Casanare;Sabanalarga;614;
Tolima;Cajamarca;1;
Bolívar;San Pablo;169;
La Guajira;Uribia;1334;
Cesar;Pueblo Bello;48;
Cauca;Piamonte;1;
Boyacá;Tutazá;74;
Santander;Jesús María;22;
Antioquia;Sopetrán;23;
Boyacá;San Miguel De Sema;97;
Santander;Galán;24;
Casanare;Nunchía;14;
Tolima;Planadas;22;
Cesar;Río De Oro;44;
La Guajira;La Jagua Del Pilar;38;
Cauca;Mercaderes;9;
Cundinamarca;Quebradanegra;20;
Cauca;Almaguer;21;
Cundinamarca;Gutiérrez;4;
Santander;Bolívar;6;
Arauca;Arauquita;38;
Boyacá;San Luis De Gaceno;5;
Magdalena;El Piñon;10;
Casanare;Recetor;6;
Sucre;Sincé;2;
Tolima;Dolores;1;
Santander;Sabana De Torres;9;
Cauca;Corinto;12;
Nariño;Guaitarilla;1;
Risaralda;Santuario;3;
Huila;Teruel;217;
Boyacá;Briceño;388;
Huila;Guadalupe;46;
Cundinamarca;Cajicá;6947;
Bolívar;Arroyohondo;807;
Nariño;Aldana;1135;
Boyacá;Sotaquirá;570;
Antioquia;Envigado;23790;
Cundinamarca;Mosquera;11651;
Antioquia;Guatape;3177;
Bolívar;Santa Rosa;1030;
Chocó;Istmina;191;
Caquetá;La Montañita;657;
Caldas;Aranzazu;89;
Antioquia;Bello;15314;
Antioquia;San Carlos;2300;
Santander;Floridablanca;22778;
Caquetá;Solano;1845;
Arauca;Tame;1442;
Tolima;Rioblanco;983;
Tolima;Villarrica;500;
Caquetá;San Vicente Del Caguán;1393;
Bolívar;San Jacinto;779;
Meta;Mesetas;251;
Cauca;Timbío;1404;
Boyacá;Motavita;437;
Caquetá;Milán;70;
Bolívar;Santa Catalina;587;
Valle del Cauca;Bugalagrande;732;
Antioquia;La Unión;490;
Boyacá;San Eduardo;355;
Casanare;No Definido;1745;
Cauca;Buenos Aires;1088;
Casanare;Paz De Ariporo;182;
Antioquia;Valparaíso;126;
Antioquia;Caramanta;266;
Cesar;El Paso;283;
Santander;Barichara;377;
Santander;El Playón;684;
Boyacá;Chita;516;
Huila;Pital;414;
Córdoba;Cereté;115;
Antioquia;Ciudad Bolívar;98;
Putumayo;Puerto Caicedo;5;
Boyacá;Gameza;108;
Cundinamarca;Pandi;4;
Casanare;Pore;10;
Boyacá;Santa Sofía;24;
Córdoba;San Carlos;3;
Atlántico;Juan De Acosta;2;
Sucre;San Benito Abad;2;
Santander;Chima;4;
Boyacá;Tenza;22;
Santander;Santa Bárbara;11;
Antioquia;Yalí;2;
Meta;San Juan De Arama;1;
Cundinamarca;Guayabal De Siquima;13;
Nariño;Linares;3;
Cundinamarca;Guaduas;2367;
Cauca;Popayán;71818;
Antioquia;No Definido;32505;
Meta;No Definido;9896;
Cundinamarca;No Definido;24617;
Caldas;Palestina;355;
Cundinamarca;Villeta;5481;
Atlántico;Soledad;21861;
Quindío;Córdoba;646;
Magdalena;Sitionuevo;2320;
Putumayo;Valle Del Guamuez;1015;
Nariño;Potosí;2298;
Córdoba;No Definido;8843;
Norte de Santander;Chinácota;4323;
Meta;Puerto López;2281;
Tolima;Líbano;1898;
Casanare;Hato Corozal;162;
Antioquia;Amalfi;893;
Valle del Cauca;Yumbo;6489;
Antioquia;Murindó;216;
Huila;La Plata;3513;
Tolima;Armero;800;
Atlántico;Luruaco;829;
Boyacá;Paipa;700;
Risaralda;Balboa;176;
Sucre;Coloso;588;
Cundinamarca;Nilo;3327;
Valle del Cauca;Guacarí;2129;
Vaupés;Mitú;855;
Bolívar;Clemencia;1228;
Antioquia;Tarso;248;
Santander;Barbosa;608;
Caldas;Norcasia;1166;
Cauca;Sucre;705;
Antioquia;Peque;540;
Cesar;Gamarra;247;
Nariño;Santa Bárbara;277;
Huila;Campoalegre;2245;
Huila;Palermo;426;
Boyacá;Togüí;70;
Santander;Páramo;44;
Casanare;Tauramena;1733;
Sucre;Tolú Viejo;559;
Cundinamarca;Manta;402;
Cauca;Puracé;11;
Córdoba;La Apartada;417;
Boyacá;Monguí;165;
Cundinamarca;Nimaima;192;
